# Pointwise relative error of two-stream fit to Zheleznyak (1982)
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# RMS relative error = 0.484 %
# 
# Columns:
#   chi            : reduced path length p_O2*r  [Pa m]
#   rel_error_pct  : |K_twostream - K_zheleznyak| / K_zheleznyak * 100  [%]
#
#                    chi           rel_error_pct
          2.76542839e-02          2.77073146e-01
          2.77644048e-02          2.76816468e-01
          2.78749643e-02          2.76558825e-01
          2.79859640e-02          2.76300212e-01
          2.80974057e-02          2.76040626e-01
          2.82092912e-02          2.75780065e-01
          2.83216222e-02          2.75518523e-01
          2.84344005e-02          2.75255999e-01
          2.85476279e-02          2.74992489e-01
          2.86613062e-02          2.74727989e-01
          2.87754372e-02          2.74462496e-01
          2.88900226e-02          2.74196005e-01
          2.90050644e-02          2.73928515e-01
          2.91205642e-02          2.73660021e-01
          2.92365239e-02          2.73390519e-01
          2.93529454e-02          2.73120007e-01
          2.94698306e-02          2.72848480e-01
          2.95871811e-02          2.72575936e-01
          2.97049990e-02          2.72302370e-01
          2.98232860e-02          2.72027779e-01
          2.99420440e-02          2.71752159e-01
          3.00612749e-02          2.71475508e-01
          3.01809807e-02          2.71197820e-01
          3.03011631e-02          2.70919094e-01
          3.04218240e-02          2.70639324e-01
          3.05429655e-02          2.70358508e-01
          3.06645893e-02          2.70076641e-01
          3.07866975e-02          2.69793721e-01
          3.09092919e-02          2.69509743e-01
          3.10323744e-02          2.69224704e-01
          3.11559471e-02          2.68938601e-01
          3.12800119e-02          2.68651428e-01
          3.14045707e-02          2.68363184e-01
          3.15296255e-02          2.68073863e-01
          3.16551783e-02          2.67783463e-01
          3.17812310e-02          2.67491979e-01
          3.19077857e-02          2.67199409e-01
          3.20348443e-02          2.66905747e-01
          3.21624089e-02          2.66610991e-01
          3.22904815e-02          2.66315136e-01
          3.24190640e-02          2.66018179e-01
          3.25481586e-02          2.65720117e-01
          3.26777672e-02          2.65420944e-01
          3.28078920e-02          2.65120658e-01
          3.29385349e-02          2.64819255e-01
          3.30696980e-02          2.64516730e-01
          3.32013834e-02          2.64213080e-01
          3.33335932e-02          2.63908301e-01
          3.34663295e-02          2.63602390e-01
          3.35995944e-02          2.63295342e-01
          3.37333899e-02          2.62987153e-01
          3.38677182e-02          2.62677820e-01
          3.40025814e-02          2.62367338e-01
          3.41379816e-02          2.62055705e-01
          3.42739210e-02          2.61742915e-01
          3.44104017e-02          2.61428965e-01
          3.45474259e-02          2.61113851e-01
          3.46849957e-02          2.60797569e-01
          3.48231134e-02          2.60480114e-01
          3.49617810e-02          2.60161484e-01
          3.51010008e-02          2.59841674e-01
          3.52407750e-02          2.59520680e-01
          3.53811058e-02          2.59198499e-01
          3.55219954e-02          2.58875125e-01
          3.56634460e-02          2.58550555e-01
          3.58054599e-02          2.58224785e-01
          3.59480393e-02          2.57897811e-01
          3.60911864e-02          2.57569629e-01
          3.62349036e-02          2.57240234e-01
          3.63791931e-02          2.56909624e-01
          3.65240571e-02          2.56577793e-01
          3.66694980e-02          2.56244737e-01
          3.68155180e-02          2.55910453e-01
          3.69621195e-02          2.55574936e-01
          3.71093048e-02          2.55238182e-01
          3.72570762e-02          2.54900188e-01
          3.74054360e-02          2.54560948e-01
          3.75543866e-02          2.54220458e-01
          3.77039303e-02          2.53878716e-01
          3.78540695e-02          2.53535715e-01
          3.80048066e-02          2.53191453e-01
          3.81561439e-02          2.52845924e-01
          3.83080839e-02          2.52499126e-01
          3.84606289e-02          2.52151052e-01
          3.86137813e-02          2.51801700e-01
          3.87675436e-02          2.51451065e-01
          3.89219182e-02          2.51099143e-01
          3.90769075e-02          2.50745929e-01
          3.92325140e-02          2.50391420e-01
          3.93887401e-02          2.50035610e-01
          3.95455883e-02          2.49678496e-01
          3.97030611e-02          2.49320073e-01
          3.98611610e-02          2.48960337e-01
          4.00198904e-02          2.48599283e-01
          4.01792519e-02          2.48236908e-01
          4.03392480e-02          2.47873207e-01
          4.04998812e-02          2.47508176e-01
          4.06611540e-02          2.47141810e-01
          4.08230691e-02          2.46774104e-01
          4.09856289e-02          2.46405055e-01
          4.11488360e-02          2.46034658e-01
          4.13126930e-02          2.45662909e-01
          4.14772025e-02          2.45289803e-01
          4.16423671e-02          2.44915336e-01
          4.18081894e-02          2.44539503e-01
          4.19746720e-02          2.44162300e-01
          4.21418176e-02          2.43783722e-01
          4.23096287e-02          2.43403766e-01
          4.24781081e-02          2.43022425e-01
          4.26472583e-02          2.42639697e-01
          4.28170822e-02          2.42255577e-01
          4.29875822e-02          2.41870059e-01
          4.31587612e-02          2.41483140e-01
          4.33306219e-02          2.41094814e-01
          4.35031669e-02          2.40705078e-01
          4.36763990e-02          2.40313927e-01
          4.38503210e-02          2.39921356e-01
          4.40249354e-02          2.39527361e-01
          4.42002453e-02          2.39131937e-01
          4.43762532e-02          2.38735080e-01
          4.45529620e-02          2.38336784e-01
          4.47303744e-02          2.37937046e-01
          4.49084933e-02          2.37535861e-01
          4.50873215e-02          2.37133223e-01
          4.52668618e-02          2.36729129e-01
          4.54471170e-02          2.36323574e-01
          4.56280901e-02          2.35916553e-01
          4.58097837e-02          2.35508062e-01
          4.59922009e-02          2.35098095e-01
          4.61753445e-02          2.34686649e-01
          4.63592174e-02          2.34273717e-01
          4.65438224e-02          2.33859297e-01
          4.67291626e-02          2.33443383e-01
          4.69152408e-02          2.33025970e-01
          4.71020600e-02          2.32607053e-01
          4.72896231e-02          2.32186628e-01
          4.74779331e-02          2.31764691e-01
          4.76669929e-02          2.31341235e-01
          4.78568056e-02          2.30916257e-01
          4.80473742e-02          2.30489752e-01
          4.82387016e-02          2.30061715e-01
          4.84307908e-02          2.29632141e-01
          4.86236450e-02          2.29201026e-01
          4.88172672e-02          2.28768364e-01
          4.90116603e-02          2.28334150e-01
          4.92068276e-02          2.27898381e-01
          4.94027720e-02          2.27461051e-01
          4.95994966e-02          2.27022155e-01
          4.97970047e-02          2.26581688e-01
          4.99952992e-02          2.26139646e-01
          5.01943833e-02          2.25696023e-01
          5.03942603e-02          2.25250816e-01
          5.05949331e-02          2.24804018e-01
          5.07964050e-02          2.24355625e-01
          5.09986792e-02          2.23905632e-01
          5.12017589e-02          2.23454034e-01
          5.14056472e-02          2.23000826e-01
          5.16103474e-02          2.22546004e-01
          5.18158628e-02          2.22089562e-01
          5.20221965e-02          2.21631496e-01
          5.22293519e-02          2.21171799e-01
          5.24373322e-02          2.20710469e-01
          5.26461406e-02          2.20247499e-01
          5.28557806e-02          2.19782884e-01
          5.30662553e-02          2.19316620e-01
          5.32775682e-02          2.18848701e-01
          5.34897225e-02          2.18379123e-01
          5.37027217e-02          2.17907880e-01
          5.39165690e-02          2.17434968e-01
          5.41312679e-02          2.16960381e-01
          5.43468217e-02          2.16484115e-01
          5.45632338e-02          2.16006164e-01
          5.47805078e-02          2.15526524e-01
          5.49986469e-02          2.15045189e-01
          5.52176547e-02          2.14562154e-01
          5.54375345e-02          2.14077414e-01
          5.56582900e-02          2.13590964e-01
          5.58799245e-02          2.13102799e-01
          5.61024415e-02          2.12612914e-01
          5.63258447e-02          2.12121304e-01
          5.65501374e-02          2.11627964e-01
          5.67753233e-02          2.11132888e-01
          5.70014059e-02          2.10636071e-01
          5.72283887e-02          2.10137509e-01
          5.74562755e-02          2.09637196e-01
          5.76850696e-02          2.09135128e-01
          5.79147749e-02          2.08631298e-01
          5.81453949e-02          2.08125702e-01
          5.83769332e-02          2.07618334e-01
          5.86093934e-02          2.07109190e-01
          5.88427794e-02          2.06598264e-01
          5.90770947e-02          2.06085552e-01
          5.93123431e-02          2.05571047e-01
          5.95485283e-02          2.05054745e-01
          5.97856539e-02          2.04536641e-01
          6.00237238e-02          2.04016729e-01
          6.02627417e-02          2.03495004e-01
          6.05027114e-02          2.02971461e-01
          6.07436367e-02          2.02446095e-01
          6.09855213e-02          2.01918900e-01
          6.12283692e-02          2.01389872e-01
          6.14721840e-02          2.00859005e-01
          6.17169698e-02          2.00326293e-01
          6.19627303e-02          1.99791732e-01
          6.22094694e-02          1.99255317e-01
          6.24571911e-02          1.98717042e-01
          6.27058992e-02          1.98176901e-01
          6.29555977e-02          1.97634890e-01
          6.32062905e-02          1.97091004e-01
          6.34579816e-02          1.96545236e-01
          6.37106749e-02          1.95997583e-01
          6.39643745e-02          1.95448038e-01
          6.42190843e-02          1.94896596e-01
          6.44748083e-02          1.94343252e-01
          6.47315507e-02          1.93788001e-01
          6.49893155e-02          1.93230837e-01
          6.52481067e-02          1.92671756e-01
          6.55079284e-02          1.92110751e-01
          6.57687847e-02          1.91547818e-01
          6.60306797e-02          1.90982951e-01
          6.62936177e-02          1.90416145e-01
          6.65576027e-02          1.89847395e-01
          6.68226389e-02          1.89276695e-01
          6.70887305e-02          1.88704041e-01
          6.73558816e-02          1.88129425e-01
          6.76240966e-02          1.87552845e-01
          6.78933796e-02          1.86974293e-01
          6.81637350e-02          1.86393766e-01
          6.84351669e-02          1.85811256e-01
          6.87076796e-02          1.85226760e-01
          6.89812775e-02          1.84640272e-01
          6.92559649e-02          1.84051786e-01
          6.95317462e-02          1.83461298e-01
          6.98086256e-02          1.82868801e-01
