# Convolution of a Gaussian source with Zheleznyak and two-stream kernels
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# Source: Gaussian centred at 0.3*x_max, sigma = 0.04*x_max
# x_max = 1.523680e+02 Pa m  (= 4 / lambda1)
# All convolution values normalised by max(conv_zheleznyak)
# 
# Columns:
#   x                  : reduced coordinate p_O2*r  [Pa m]
#   source             : normalised Gaussian source (max = 1)  [dimensionless]
#   conv_zheleznyak    : photoionisation rate, Zheleznyak kernel, normalised  [dimensionless]
#   conv_twostream     : photoionisation rate, two-stream kernel, normalised  [dimensionless]
#
#                      x                  source         conv_zheleznyak          conv_twostream
          6.07945776e+01          2.18691887e-03          1.19266324e-01          1.18881297e-01
          6.10489482e+01          1.77563995e-03          1.15728015e-01          1.15348840e-01
          6.13033189e+01          1.43669353e-03          1.12374066e-01          1.12002608e-01
          6.15576895e+01          1.15840483e-03          1.09190607e-01          1.08828641e-01
          6.18120601e+01          9.30772569e-04          1.06164919e-01          1.05814119e-01
          6.20664307e+01          7.45270251e-04          1.03285361e-01          1.02947288e-01
          6.23208013e+01          5.94663100e-04          1.00541286e-01          1.00217382e-01
          6.25751720e+01          4.72841068e-04          9.79229679e-02          9.76145483e-02
          6.28295426e+01          3.74667810e-04          9.54215262e-02          9.51297754e-02
          6.30839132e+01          2.95845228e-04          9.30288559e-02          9.27548234e-02
          6.33382838e+01          2.32792909e-04          9.07375601e-02          9.04821590e-02
          6.35926544e+01          1.82541629e-04          8.85408877e-02          8.83048939e-02
          6.38470250e+01          1.42639921e-04          8.64326740e-02          8.62167278e-02
          6.41013957e+01          1.11072680e-04          8.44072868e-02          8.42118947e-02
          6.43557663e+01          8.61907000e-05          8.24595763e-02          8.22851143e-02
          6.46101369e+01          6.66500620e-05          8.05848289e-02          8.04315467e-02
          6.48645075e+01          5.13603176e-05          7.87787253e-02          7.86467515e-02
          6.51188781e+01          3.94404479e-05          7.70373026e-02          7.69266502e-02
          6.53732487e+01          3.01816494e-05          7.53569191e-02          7.52674919e-02
          6.56276194e+01          2.30160660e-05          7.37342237e-02          7.36658233e-02
          6.58819900e+01          1.74906607e-05          7.21661274e-02          7.21184599e-02
          6.61363606e+01          1.32454991e-05          7.06497778e-02          7.06224616e-02
          6.63907312e+01          9.99579715e-06          6.91825368e-02          6.91751098e-02
          6.66451018e+01          7.51715552e-06          6.77619599e-02          6.77738873e-02
          6.68994725e+01          5.63347835e-06          6.63857779e-02          6.64164598e-02
          6.71538431e+01          4.20713762e-06          6.50518810e-02          6.51006595e-02
          6.74082137e+01          3.13100529e-06          6.37583037e-02          6.38244706e-02
          6.76625843e+01          2.32203027e-06          6.25032122e-02          6.25860159e-02
          6.79169549e+01          1.71608560e-06          6.12848924e-02          6.13835448e-02
          6.81713255e+01          1.26385431e-06          6.01017396e-02          6.02154227e-02
          6.84256962e+01          9.27560125e-07          5.89522493e-02          5.90801212e-02
          6.86800668e+01          6.78381698e-07          5.78350085e-02          5.79762098e-02
          6.89344374e+01          4.94416742e-07          5.67486885e-02          5.69023473e-02
          6.91888080e+01          3.59086608e-07          5.56920379e-02          5.58572753e-02
          6.94431786e+01          2.59891599e-07          5.46638769e-02          5.48398116e-02
          6.96975492e+01          1.87444313e-07          5.36630913e-02          5.38488441e-02
          6.99519199e+01          1.34722239e-07          5.26886280e-02          5.28833260e-02
          7.02062905e+01          9.64924440e-08          5.17394903e-02          5.19422704e-02
