BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\OneDrive - SINTEF\bolsigplus122019-win\Lisbon-N2-O2-02June2026.txt
--------------------------------------------------
O2                                                              
C:\Users\robertm\OneDrive - SINTEF\bolsigplus122019-win\Lisbon-N2-O2-02June2026.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       0.000    
A10    Ion/neutral mass ratio                     1.000    
A11    Coulomb collision model                    1.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           100.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-04
A20    Maximum # of iterations                    2000.    
A21    Mole fraction N2                          0.7900    
A22    Mole fraction O2                          0.2100    
          R#      A1         A16         A17    
         458  0.3126E+06   3.000      0.1000E+05
         459  0.3214E+06   3.000      0.1000E+05
         460  0.3304E+06   3.000      0.1000E+05
         461  0.3397E+06   3.000      0.1000E+05
         462  0.3492E+06   3.000      0.1000E+05
         463  0.3590E+06   3.000      0.1000E+05
         464  0.3691E+06   3.000      0.1000E+05
         465  0.3795E+06   3.000      0.1000E+05
         466  0.3901E+06   3.000      0.1000E+05
         467  0.4011E+06   3.000      0.1000E+05
         468  0.4123E+06   3.000      0.1000E+05
         469  0.4239E+06   3.000      0.1000E+05
         470  0.4358E+06   3.000      0.1000E+05
         471  0.4480E+06   3.000      0.1000E+05
         472  0.4606E+06   3.000      0.1000E+05
         473  0.4735E+06   3.000      0.1000E+05
         474  0.4868E+06   3.000      0.1000E+05
         475  0.5005E+06   3.000      0.1000E+05
         476  0.5145E+06   3.000      0.1000E+05
         477  0.5290E+06   3.000      0.1000E+05
         478  0.5438E+06   3.000      0.1000E+05
         479  0.5591E+06   3.000      0.1000E+05
         480  0.5748E+06   3.000      0.1000E+05
         481  0.5909E+06   3.000      0.1000E+05
         482  0.6075E+06   3.000      0.1000E+05
         483  0.6246E+06   3.000      0.1000E+05
         484  0.6421E+06   3.000      0.1000E+05
         485  0.6601E+06   3.000      0.1000E+05
         486  0.6787E+06   3.000      0.1000E+05
         487  0.6977E+06   3.000      0.1000E+05
         488  0.7173E+06   3.000      0.1000E+05
         489  0.7375E+06   3.000      0.1000E+05
         490  0.7582E+06   3.000      0.1000E+05
         491  0.7794E+06   3.000      0.1000E+05
         492  0.8013E+06   3.000      0.1000E+05
         493  0.8238E+06   3.000      0.1000E+05
         494  0.8469E+06   3.000      0.1000E+05
         495  0.8707E+06   3.000      0.1000E+05
         496  0.8952E+06   3.000      0.1000E+05
         497  0.9203E+06   3.000      0.1000E+05
         498  0.9461E+06   3.000      0.1000E+05
         499  0.9727E+06   3.000      0.1000E+05
         500  0.1000E+07   3.000      0.1000E+05
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. *N (1/m/s)                               
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
A30    Error code                                                      
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A17         A18         A19         A20         A21         A22         A23         A27         A28         A29         A30    
           1   1.000      0.2366      0.6051E+25  0.1310E+25  0.9184E+25  0.1378E+25  0.2033E-13  0.2906E-13   0.000       0.000       0.000       0.000      0.6051E-17  0.1905E-18  0.5855E-17   0.000       1.906       6.000       1.000       0.000    
           2   1.028      0.2395      0.6001E+25  0.1313E+25  0.9104E+25  0.1383E+25  0.2053E-13  0.2931E-13   0.000       0.000       0.000       0.000      0.6343E-17  0.1955E-18  0.6140E-17   0.000       1.906       6.000       1.000       0.000    
